Time,TickMS,Phase,Bid,Ask,Spread,Velocity,Acceleration,Mom_Hist,Mom_Macd,Mom_Sig,Flow_MFI,Flow_DUp,Flow_DDown,Ext_VA_Vel,Ext_VA_Acc,Floating_PL,Realized_PL,Action,PosCount,ActiveSL,ActiveTP,DOM_Snapshot
2026.01.27 11:37:11,697,IDLE,1.18696,1.18702,6.4,0.49173,-0.12293,-74.2,-24.52,49.68,50.0,0.0,-50.0,100.12,100.26,-34.54,0.0,MimicResearch,1,1.14816,1.21936,1.18696
2026.01.27 11:37:12,230,IDLE,1.18697,1.18703,6.4,0.47081,0.04516,-72.39,-22.47,49.92,50.0,0.0,-50.0,100.12,100.26,-33.7,0.0,MimicResearch,1,1.14816,1.21936,1.18697
2026.01.27 11:37:16,188,IDLE,1.18694,1.18701,6.4,0.49905,0.03307,-77.74,-28.55,49.19,50.0,0.0,-50.0,100.12,100.26,-36.23,0.0,MimicResearch,1,1.14816,1.21936,1.18694
2026.01.27 11:37:16,586,IDLE,1.18695,1.18702,6.4,0.46598,-0.00482,-75.98,-26.54,49.44,50.0,0.0,-50.0,100.12,100.26,-35.38,0.0,MimicResearch,1,1.14816,1.21936,1.18695
2026.01.27 11:37:17,47,IDLE,1.18694,1.18701,6.4,0.54596,0.03486,-77.74,-28.55,49.19,50.0,0.0,-50.0,100.12,100.26,-36.23,0.0,MimicResearch,1,1.14816,1.21936,1.18694
2026.01.27 11:37:17,458,IDLE,1.18696,1.18702,6.4,0.44658,-0.05247,-74.2,-24.52,49.68,50.0,0.0,-50.0,100.12,100.26,-34.54,0.0,MimicResearch,1,1.14816,1.21936,1.18696
2026.01.27 11:37:17,669,IDLE,1.18694,1.18701,6.4,0.54228,0.0957,-77.74,-28.55,49.19,50.0,0.0,-50.0,100.12,100.26,-36.23,0.0,MimicResearch,1,1.14816,1.21936,1.18694
2026.01.27 11:37:17,881,IDLE,1.18696,1.18702,6.4,0.5111,-0.03118,-74.2,-24.52,49.68,50.0,0.0,-50.0,100.12,100.26,-34.54,0.0,MimicResearch,1,1.14816,1.21936,1.18696
2026.01.27 11:37:18,212,IDLE,1.18694,1.18701,6.4,0.34941,-0.08735,-77.74,-28.55,49.19,50.0,0.0,-50.0,100.12,100.26,-36.23,0.0,MimicResearch,1,1.14816,1.21936,1.18694
2026.01.27 11:37:18,948,IDLE,1.18696,1.18702,6.4,0.43677,-0.10919,-74.2,-24.52,49.68,50.0,0.0,-50.0,100.12,100.26,-34.54,0.0,MimicResearch,1,1.14816,1.21936,1.18696
