Time,TickMS,Phase,MimicMode,Verdict,Bid,Ask,Spread,BidVol,AskVol,Bar_Open,Bar_High,Bar_Low,Bar_Close,RSI,CCI,Velocity,Acceleration,Hybrid_MACD,Hybrid_DFCurve,Flow_MFI,Flow_DUp,Flow_DDown,Mom_Hist,Balance,Margin,MarginPercent,Floating_PL,Realized_PL,Session_PL,PosCount,LotDir,TotalLots,SLTP_Levels,ActionDetails,LastEvent
2026.02.02 14:52:33,282,ACTIVE_HOLD,0,CRASH_RISK,4793.97000,4794.36000,40.3,100.00,100.00,4788.71000,4794.76000,4786.31000,4793.97000,56.91,29.70,97.47251,-8.54244,0.06805,13.83,50.00,0.00,-50.00,91.19146,1308602.94,767192.19,162.44,-62398.36,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:33,469,ACTIVE_HOLD,0,CRASH_RISK,4793.50000,4793.89000,40.3,100.00,100.00,4788.71000,4794.76000,4786.31000,4793.50000,56.60,25.63,100.53844,3.06593,-0.33481,13.36,50.00,0.00,-50.00,87.91887,1308602.94,767192.19,162.44,-62397.12,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:33,632,ACTIVE_HOLD,0,CRASH_RISK,4792.75000,4793.14000,40.3,100.00,100.00,4788.71000,4794.76000,4786.31000,4792.75000,56.10,19.05,110.99133,10.45289,-0.97767,12.61,50.00,0.00,-50.00,82.37964,1308602.94,767192.19,162.44,-62395.19,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:33,789,ACTIVE_HOLD,0,CRASH_RISK,4792.93000,4793.32000,40.3,100.00,100.00,4788.71000,4794.76000,4786.31000,4792.93000,56.22,20.64,117.44528,6.45395,-0.82338,12.79,50.00,0.00,-50.00,83.74304,1308602.94,767192.19,162.44,-62395.68,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:34,231,ACTIVE_HOLD,0,CRASH_RISK,4792.97000,4793.36000,40.3,100.00,100.00,4788.71000,4794.76000,4786.31000,4792.97000,56.25,20.99,110.68569,-6.75959,-0.78910,12.83,50.00,0.00,-50.00,84.04318,1308602.94,767192.19,162.44,-62395.78,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:34,446,ACTIVE_HOLD,0,CRASH_RISK,4793.09000,4793.48000,40.3,100.00,100.00,4788.71000,4794.76000,4786.31000,4793.09000,56.33,22.05,103.93316,-6.75252,-0.68624,12.95,50.00,0.00,-50.00,84.93729,1308602.94,767192.19,162.44,-62397.10,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:34,749,ACTIVE_HOLD,0,CRASH_RISK,4793.37000,4793.76000,40.3,100.00,100.00,4788.71000,4794.76000,4786.31000,4793.37000,56.51,24.50,94.17856,-9.75460,-0.44624,13.23,50.00,0.00,-50.00,86.98599,1308602.94,767192.19,162.44,-62397.84,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:34,90,ACTIVE_HOLD,0,CRASH_RISK,4793.46000,4793.85000,40.3,100.00,100.00,4788.71000,4794.76000,4786.31000,4793.46000,56.57,25.28,83.55990,-10.61866,-0.36910,13.32,50.00,0.00,-50.00,87.63309,1308602.94,767192.19,162.44,-62398.09,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:35,354,ACTIVE_HOLD,0,CRASH_RISK,4793.49000,4793.88000,40.3,100.00,100.00,4788.71000,4794.76000,4786.31000,4793.49000,56.59,25.54,76.12535,-7.43455,-0.34338,13.35,50.00,0.00,-50.00,87.84753,1308602.94,767192.19,162.44,-62398.16,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
2026.02.02 14:52:35,502,ACTIVE_HOLD,0,CRASH_RISK,4793.53000,4793.92000,40.3,100.00,100.00,4788.71000,4794.76000,4786.31000,4793.53000,56.62,25.89,69.02586,-7.09949,-0.30910,13.39,50.00,0.00,-50.00,88.13248,1308602.94,767192.19,162.44,-62398.27,0.00,70109.71,11,NEUTRAL_HEDGE,0.20,B:4734.50/4830.14|S:4923.62/4757.82|S:4925.27/4760.75|...,NONE,
